RawRom,RawNep,NormNep,NormRom,Offensiveness,IsTaboo,Class,Class_Other,Profanity,Offensive
jaisi,जैसी,जैसी,jaisi,1,0,Race,,,
jo chor usaiko thulo swar,जाे चाेर उसकै ठूलाे स्वर,जो चोर उसको ठूलो स्वर,jo chor usko thulo swar,3,0,Idiom,,,
jaan mara,ज्यानमारा,ज्यानमारा,jyanmara,2,0,Other,Politics,,
jhande,झन्डे,झन्डे,jhande,2,0,Other,,,
jhappad,झापड,झापड,jhapad,1,0,Action,,,
jhapali,झापाली,झापाली,jhapali,2,0,Geographic Location,,,
jharpat,झारपात,झारपात,jharpat,1,0,Plant,,,
jhare,झारे,झारे,jhare,2,0,Other,,,
jhat,झाट,झाट,jhat,,,,,1,
jharnu,झार्नु,झार्नु,jharnu,1,0,Action,,,
jhinga,झींगा,झिँगा,jhinga,1,0,Animal,,,
jhut,झूट,झुट,jhut,1,0,Other,,,
jhuse,झुसे,झुसे,jhuse,1,0,Other,Body Part,1,
jhola,झोला,झोला,jhola,1,0,Politics,,,
jhole,झोले,झोले,jhole,2,0,Politics,,,
jhakne,झ्याक्ने,झ्याक्ने,jhakne,5,1,Other,,,
jham,झवाम,झ्वाम,jhwam,1,0,Politics,,,
tanta khalas,टन्टा खलास,टन्टा खलास,tanta khalas,2,0,Other,,,
tanta saf,टन्टा साफ,टन्टा साफ,tanta saph,2,0,Other,,,
tapare,टपरे,टपरे,tapare,4,0,Race,,,
tauko,टाउको,टाउको,taauko,1,0,Body Part,,,
tathabatha,टाठावाठा,टाठाबाठा,tathabatha,1,0,Other,,,
tilo,टिलो,टिलो,tilo,3,0,Death,,,
tuppi,टुप्पी,टुप्पी,tuppi,1,0,Race,Body Part,,
tuppi,तूप्पी,टुप्पी,tuppi,1,0,Race,Body Part,,
tuppo,टुप्पो,टुप्पो,tuppo,1,0,Body Part,,,
tulutulu,टूलूटलू,टुलुटुलु,tulutulu,1,0,Other,,,
todko,टोड्को,टोड्को,todko,1,0,Other,Plant?,,
topalne,टोपल्ने,टोपल्ने,topalne,3,0,Other,,,
topi,तोपी,टोपी,topi,1,0,Cloth,Race,,
tumar,ट्यूमर,ट्युमर,tyumar,1,0,Disease,,,
twake,त्वाँके,ट्वाके,twanke,3,0,Other,,,
thag,ठग,ठग,thag,2,0,Other,,,
thag,ठ,ठग,thag,2,0,Other,,,
thankanu,ठन्कनु,ठन्कनु,thankanu,3,0,Vulgar,,1,
thamel,ठमेल,ठमेल,thamel,1,0,Geographic Location,Sex and Porn,,
thaharai,ठहर्यै,ठहरै,thaharai,1,0,Action,,,
thado,ठाँडो,ठाँडो,thando,1,0,Weapon,,,
this,थिस,ठिस,this,1,0,Other,,1,
dakar,डकार,डकार,dakar,1,0,Excretion,,,
dar chheruwa,डरछेरुवा,डरछेरुवा,darcheruwa,4,0,Other,,,
dalarbadi,डलरबादी,डलरबादी,dalarbadi,3,0,Politics,,,
dalarbhogo,डलरभोगी,डलरभोगी,dalarbhogi,3,0,Politics,,,
dalare,डलरे,डलरे,dalare,3,0,Politics,,,
daka,डाका,डाका,daka,1,0,Other,,1,
dakka,डाका,डाका,daka,1,0,Other,,1,
daka,डाँका,डाका,daka,1,0,Other,,1,
damna,डाम्ना,डाम्ना,damna,3,0,Race,,1,
daamnaa,डाम्ना,डाम्ना,damna,3,0,Race,,1,
damni,डाम्नी,डाम्नी,damni,3,0,Race,,1,
duku lanthak,डुकु लण्ठक,डुकुलण्ठक,dukulanthak,3,0,Other,,,
dukriyera,डूकृएर,डुक्रिएर,dukriyera,1,0,Other,Animal,,
dundo,डुँडो,डुँडो,dundo,4,0,Disability,,,
dan ki dan,ड्याङ की ड्याङ,ड्याङ कि ड्याङ,dyang ki dyang,1,0,Action,,,
dhakal,ढकाल,ढकाल,dhakal,1,0,Race,,,
dhakan,ढकन्,ढक्कन,dhakkan,1,0,Other,,,
dhikuti,धीकूती,ढुकुटी,dhukuti,1,0,Other,,,
dhedu,डेडू,ढेडु,dhedu,1,0,Animal,,,
ta,तँ,तँ,tan,1,0,Other,,,
ta gurung,तँ गुरुङ्,तँ गुरुङ्,tan gurung,4,0,Race,,,
ta magar,तँ मगर,तँ मगर,tan magar,4,0,Race,,,
tathanam,तथानाम,तथानाम,tathanam,1,0,Other,,,
tarwar,तरवार,तरवार,tarwar,1,0,Weapon,,,
taruni,तरूणी,तरूनी,taruni,2,0,Vulgar,Gender,,
talai na tukrai,तँलाई न टुक्राई,तँलाई न टुक्राई,tanlai na tukrai,4,0,Action,,,
taluwa chatera baseka,तलूवा चाटेर बसेका,तलुवा चाटेर बसेका,taluwa chatera baseka,5,1,Other,,,
tallo star,तल्लो स्तर,तल्लो स्तर,tallo estar,1,0,Other,,,
taskar,तस्कर,तस्कर,taskar,1,0,Politics,,,
taskar,तस्कर,तस्कर,taskar,1,0,Politics,,,
taskari,तस्करी,तस्करी,taskari,1,0,Politics,,,
tai na tui,ताई न तूई,ताईँ न तुईँ,tain na tuin,2,0,Other,,,
tatto na chharo,तातो न छारो,तातो न छारो,tatto na chharo,1,0,Other,,,
tatto na chharo,तात्तो न छारो,तातो न छारो,tatto na chharo,1,0,Other,,,
tanashahi,तानाशाही,तानाशाही,tanashahi,1,0,Politics,,,
timro bau,तिम्रो वाउ,तिम्रो बाउ,timro baau,3,0,Relation,,1,
tigre,तीघ्रे,तीघ्रे,tigre,2,0,Body Part,,,
tuchha,तुच्छ,तुच्छ,tuchha,2,0,Other,,,
tunturi,तुन्तुरी,तुन्तुरी,tunturi,4,0,Body Part,,1,
tera baau,तेरा बाउ,तेरा बाउ,tera baau,3,0,Relation,,1,
tero baje,तेराे बाजे,तेराे बाजे,tero baje,3,0,Relation,,1,
teri,तेरि,तेरी,teri,1,0,Relation,,,
terma ki chhut,तेरी माकीचूत,तेरी माकीचूत,teri maki chut,5,1,Other,Sex and Porn,1,
terima chor,तेरीमा चोर,तेरीमा चोर,terima chor,5,1,Other,,1,
terima jhekne,तेरीमॉ झेक्ने,तेरीमा झ्याक्ने,terima jhakne,5,1,Other,,1,
terima tokne,तेरीमा टोक्ने,तेरीमा टोक्ने,terima tokne,5,1,Other,,1,
terima tokne,तेरी मा टोक्ने,तेरीमा टोक्ने,terima tokne,5,1,Other,,1,
terima sala,तेरीमा साला,तेरीमा साला,terima sala,5,1,Relation,,1,
tero,तेरो,तेरो,tero baje,1,0,Relation,,,
tero akhama ratantho tero kaan bahiro ra tero dimak ma gobar bhariyeko chha,तेरो आँखामा रतन्धो तेरो कान बहीरो र तेरो दीमाखमा गोबर भरीएको छ,तेरो आँखामा रतन्धो तेरो कान बहिरो र तेरो दिमागमा गोबर भरिएको छ,tero ankhama ratandho tero kaan bahiro ra tero dimakma gobar bhariyeko chha,5,1,Other,,1,
tero tauko,तेरो टाउको,तेरो टाउको,tero taauko,3,0,Body Part,,,
tero todko,तेरो टोड्को,तेरो टोड्को,tero todko,3,0,Body Part,,,
tero bau,तेरो बाउ,तेरो बाउ,tero baau,3,0,Relation,,1,
tero baauko,तेरो बाऊ,तेरो बाउ,tero baau,3,0,Relation,,,
tero baau,तेरो बाऊ,तेरो बाउ,tero baau,3,0,Relation,,1,
tero bau,तेरो वाउ,तेरो बाउ,tero baau,3,0,Relation,,1,
tero baauko ladho,तेरो बाउको लाडो,तेरो बाउको लाडो,tero baauko ladho,5,1,Body Part,Relation,1,
tero baauko taauko,तेरो बाउको टाउको,तेरो बाउको टाउको,tero baauko tauko,5,1,Body Part,Relation,1,
tero baauko thado,तेरो बाउको ठाडो,तेरो बाउको टाउको,tero baauko tauko,5,1,Body Part,Relation,1,
tero hajurbau,तेरो हजुरवाउ,तेरो हजुरबाउ,tero hajurbau,4,0,Relation,,1,
tero harkat,तेरो हर्कत,तेरो हर्कत,tero harkat,2,0,Relation,,,
taile,तैंले,तैँले,tainle,1,0,Other,,,
toit,तोइट,तोइट,toit,1,0,Other,,,
tori,तोरी,तोरी,tori,1,0,Disability,Plant,,
torpini,तोर्पीनी,तोर्पीनी,torpini,4,0,Other,Sex and Porn,1,
torpe,तोर्पे,तोर्पे,torpe,4,0,Other,Sex and Porn,1,
torme,तोर्मे,तोर्मे,torme,4,0,Other,Sex and Porn,1,
teska baje,त्यस्का बाजे,त्यस्का बाजे,teska baje,2,0,Relation,,,
thanne,थाङ्ने,थाङ्ने,thangne,3,0,Other,,,
thu thu,थु थु,थु थु,thu thu,1,0,Other,Excretion,,
thuikka,थूइक्क,थुइक्क,thuikka,2,0,Other,Excretion,1,
thuikka buddhi,थूइक्क बूद्धी,थुइक्क बुद्धि,thuikka buddhi,3,0,Other,Excretion,1,
thuikka,थुईक्क,थुईक्क,thuikka,2,0,Other,Excretion,1,
thuk,थुक,थुक,thuk,1,0,Excretion,,,
thukka,ठुक्क,थुक्क,thukka,1,0,Other,Excretion,,
thukka,ठूक्क,थुक्क,thukka,1,0,Other,Excretion,,
thukka,थुक्क,थुक्क,thukka,1,0,Other,Excretion,,
tukka,थुक्क,थुक्क,thukka,1,0,Other,Excretion,,
thukka syaal,थुक्क स्याल,थुक्क स्याल,thukka syal,4,0,Animal,Excretion,1,
thutuno,थुतुनो,थुतुनो,thununo,3,0,Body Part,,,
thun,थुन,थुन,thun,3,0,Body Part,,1,
thuncholi,थुनचोली,थुनचोली,thuncholi,3,0,Cloth,,,
thepchhini,थेप्चीनी,थेप्चीनी,thepchini,5,1,Race,Gender,,
thepchhe,थेप्चे,थेप्चे,thepchhe,2,0,Race,Gender,,
thepche,थेप्चे,थेप्चे,thepchhe,2,0,Race,Gender,,
thoti,थोती,थोती,thoti,3,0,Disability,,,
thoti haseko,थोती हाँसेको,थोती हाँसेको,thoti hanseko,3,0,Disability,,,
danak,दनक,दनक,danak,1,0,Other,,,
danuwar,दनूवार,दनूवार,danuwar,1,0,Race,,,
damai,दमाई,दमाईं,damai,1,0,Race,,,
damini,दमीनी,दमिनी,damini,5,1,Race,,1,
daridra,दरिद्र,दरिद्र,daridra,1,0,Other,,,
daridra bichar,दरीद्र वीचार,दरिद्र विचार,daridra bichar,2,0,Other,,,
daro,दरो,दरो,daro,1,0,Other,,,
dalal,दलाल,दलाल,dalal,2,0,Politics,,,
dalaal,दलाल,दलाल,dalal,2,0,Politics,,,
dalal,द,दलाल,dalal,2,0,Politics,,,
dalal dhoti,दलाल धोती,दलाल धोती,dalal dhoti,5,1,Race,,1,
dalal hoss,दलाल होस,दलाल होस्,dalal hos,4,0,Other,,,
daijo,दाईजो,दाईजो,daijo,1,0,Marriage,,,
dauri,दाउरी,दाउरी,daauri,3,0,Marriage,,,
dadha,दादा,दादा,dada,1,0,Relation,,,
dada,दादा,दादा,dada,1,0,Relation,,,
dadagiri,दादागीरी,दादागिरी,dadagiri,2,0,Politics,,,
danab,दानव,दानव,danab,1,0,Religion,,,
das,दास,दास,daas,1,0,Other,,,
dasi,दासी,दासी,dasi,1,0,Other,,,
dari,दाह्री,दाह्री,darhi,1,0,Body Part,,,
dimak kharab,दीमाग खराब,दिमाग खराब,dimag kharab,1,0,Other,,,
dimakh ta khuskena,दिमाग त खुस्केन,दिमाग त खुस्केन,dimag ta khuskena,3,0,Other,,,
dimak navayako,दिमाख नभएको,दिमाग नभएको,dimag nabhayeko,4,0,Other,,,
dimak ma gu bhariyeka,दीमाग मा गू भरीएका,दिमागमा गु भरिएका,dimagma gu bhariyeka,4,0,Other,,,
dimak le kam ghardaina jasto x,दिमागले काम गर्दैन जस्तो छ,दिमागले काम गर्दैन जस्तो छ,dimagle kaam gardaina jasto chha,3,0,Other,,,
dimaagi santulan thik xaina,दिमागी सन्तुलन,दिमागी सन्तुलन,dimagi santulan,1,0,Disease,Disability,,
duipaisako buddhi,दुईपैसाको वुद्धि,दुई पैसाको बुद्धि,dui paisako buddhi,3,0,Idiom,Politics,,
dudh,दुध,दुध,dudh,1,0,Body Part,Sex and Porn,1,
dudh ko poka,दुधको पोका,दुधको पोका,dudh ko poka,,,,,1,
dudh ka poka,दुधका पोका,दुधका पोका,dudh ka poka,,,,,1,
durgandha,दुरगन्ध,दुर्गन्ध,durgandha,1,0,Other,Excretion,,
durbwabahar,दूव्र्यवाहर,दुर्व्यवहार,durbyabahar,1,0,Other,,,
dushit,दूषीत,दूषित,dushsit,1,0,Other,,,
dustha,दूष्ट,दूष्ट,dustha,1,0,Other,,,
dekha jayega,देखा जाएगा,देखा जाएगा,dekha jayega,1,0,Other,Imported,,
desdrohi,देशद्रोही,देश द्रोही,desh drohi,2,0,Politics,,,
desh drohi,देशद्रोही,देश द्रोही,desh drohi,2,0,Politics,,,
deshdrohi,देशद्रोही,देश द्रोही,desh drohi,2,0,Politics,,,
desdrohi,देसदोरीही,देश द्रोही,desh drohi,2,0,Politics,,,
desh lutera,देश लूटेरा,देश लुटेरा,desh lutera,2,0,Politics,,,
dogla,दोगला,दोगला,dogala,3,0,Other,Imported,,
dhrohoi,द्रोही,द्रोही,drohi,1,0,Politics,,,
dhhajji udaunuhunchha,धजी उडाउनूहून्छ,धज्जी उडाउनु,dhajji udaaunu,2,0,Other,,,
dhamira,धमीरा,धमिरा,dhamira,1,0,Animal,,,
dhikkar chha,धिक्कार छ,धिक्कार छ,dhikkar chha,1,0,Other,,,
dhundukari,धुन्दुकारी,धुन्धुकारि,dhundukari,3,0,Other,,,
dhoti,धोती,धोती,dhoti,1,0,Cloth,Race,,
dhoti,धोती,धोती,dhoti,1,0,Race,Cloth,,
dhoti ko gu,धोतीको गु,धोतीको गु,dhotiko gu,4,0,Race,Excretion,1,
dhoti ko chhauro,धाेतिकाे छाउराे,धोतीको छाउरो,dhotiko chhauro,5,1,Race,Animal,1,
dhotini,धोतीनी,धोतीनी,dhotini,5,1,Race,,1,
nakachara,नकचरा,नकचरो,nakacharo,3,0,Other,,,
na khok,नखोक,नखोक,nakhoka,2,0,Other,,,
nakhok,नखोक,नखोक,nakhoka,2,0,Other,,,
nangyayera,नङ्गयाएर,नङ्ग्याएर,nagyayera,1,0,Other,,1,
napunsak,नपुंसक,नपुंसक,napunsak,5,1,Gender,,1,
namchine ping ko jhadka,नमच्चिने पिंङ्गको झड्का,नमच्चिने पिङको झड्का,namachhine pingko jhadka,1,0,Idiom,,,
namchine ping ko saye jhadka,नमचिने पिङको सय झड्का,नमच्चिने पिङको सय झड्का,namachhine pingko saya jhadka,1,0,Idiom,,,
namuna,नमुना,नमुना,namuna,1,0,Other,,,
naike,नाईके,नाइके,naike,1,0,Politics,,,
naiti,नाईटी,नाईटी,naiti,1,0,Cloth,,1,
nangechar,नांगेझार,नाङ्गेझार,nangejhar,2,0,Other,Plant,,
nachhan najanne angan tedho,नाच्न नजान्ने आँगन टेडो,नाच्न नजान्ने आँगन टेडो,nachha najanne aagan tedho,2,0,Idiom,,,
najayaj,नाजायज,नाजायज,najayaj,1,0,Marriage,,1,
natabad,नाताबाद,नातावाद,natabad,1,0,Politics,,,
namarda,ना मरदा,नामर्द,namarda,4,0,Other,,1,
namarda,नामर्द,नामर्द,namarda,4,0,Other,,1,
naal,नाल,नाल,naal,1,0,Weapon,,,
naalaayak,नालायक,नालायक,nalayak,2,0,Other,Politics,,
nalayak,नालायक,नालायक,nalayak,2,0,Other,Politics,,
nikamma,निकम्मा,निकम्मा,kikamma,2,0,Politics,,,
nikamma,नीकम्मा,निकम्मा,nikamma,3,0,Politics,,,
nich,निच,निच,nich,2,0,Other,,,
nech,निच,निच,nich,2,0,Other,,,
neech,नीच,निच,nich,2,0,Other,,,
nich bhavana,नीच भावना,निच भावना,nich bhawana,3,0,Other,,,
nicho,निचो,निचो,nicho,2,0,Other,,,
nimna kotiko,निम्न कोटिको,निम्न कोटिको,nimna kotiko,1,0,Other,,,
nun khayeko kukhura,नुन खाएको कुखुरा,नुन खाएको कुखुरा,nun khayeko khukura,1,0,Idiom,,,
nepar,नेपार,नेपर,nepar,4,0,Vulgar,,,
niparnu,निपर्नु,नेपर्नु,neparnu,4,0,Vulgar,,,
nepti,नेप्टी,नेप्टी,nepti,4,0,Race,,,
nepte,नेप्टे,नेप्टे,nepte,4,0,Race,,,
newar,नेवार,नेवार,newar,1,0,Race,,,
newarni,नेवार्नी,नेवार्नी,newarni,4,0,Race,,,
nokar,नोकर,नोकर,nokar,1,0,Politics,,,
nokarshahi,नोकरशाही,नोकरसाही,nokarsahi,1,0,Politics,,,
nautanki,नौटन्कि,नौटङ्की,nautanki,2,0,Other,,,
pakhani,पखेनी,पखेनी,pakheni,4,0,Race,,,
pagalni,पागल्नी,पगली,pagali,4,0,Disease,,,
pangu,पङु,पङ्गु,pangu,3,0,Other,,,
patit,पतित,पतित,patit,2,0,Other,,,
patrukar,पत्रूकार,पत्रकार,patrakar,4,0,Other,,,
pattur,पत्तुर,पत्रु,patru,4,0,Other,,,
patru,पत्रु,पत्रु,patru,4,0,Other,,,
pashu,पशु,पशु,pashu,1,0,Animal,,,
pahade,पहाडे,पहाडे,pahade,3,0,Race,,,
pakhanda,पाखण्ड,पाखण्ड,pakhanda,2,0,Other,,,
pakhandi,पाखन्डी,पाखण्डी,pakhandi,2,0,Other,,1,
pakhandee,पाखन्डी,पाखण्डी,pakhandi,2,0,Other,,1,
pakhra surkinchha,पाखुरा सुर्किन्छ,पाखुरा सुर्किनु,pakhura surkinu,1,0,Action,,,
pake,पाखे,पाखे,pakhe,4,0,Race,,1,
pakhe,पाखे,पाखे,pakhe,4,0,Race,,1,
pakheni,पाखेनी,पाखेनी,pakheni,5,1,Race,,1,
pagal,पागल,पागल,pagal,2,0,Disability,Disease,,
paagal,पागल,पागल,pagal,2,0,Disability,Disease,,
pagl,पागल,पागल,pagal,2,0,Disability,Disease,,
pagal sala,पागल साला,पागल साला,pagal sala,5,1,Disability,Disease,1,
pagal khana,पागलखाना,पागलखाना,pagalkhana,4,0,Geographic Location,Disability,,
paaji,पाजी,पाजी,paji,2,0,Other,,1,
paji,पाजी,पाजी,paji,3,0,Other,,1,
patheghar,पाठेघर,पाठेघर,patheghar,1,0,Body Part,Sex and Porn,,
paat,पात,पात,paat,1,0,Plant,,,
pataki,पातकि,पातकी,pataki,4,0,Other,,,
pataki,पातकी,पातकी,pataki,4,0,Other,,,
pattaki,पात्तकी,पातकी,pataki,4,0,Other,,,
pad,पाद,पाद,paad,3,0,Excretion,,,
pani pade,पानी पादे,पानी पादे,pani pade,4,0,Excretion,,,
pap,पाप,पाप,paap,1,0,Other,,,
papi,पापी,पापी,papi,1,0,Religion,,,
papro,पाप्रो,पाप्रो,papro,1,0,Disease,,,
parpachhuke,पारपाचुके,पारपाचुके,parpachuke,1,0,Marriage,,,
paltu kukur,पाल्तु कुकुर,पाल्तु कुकुर,paltu kukur,2,0,Animal,,,
pipaasu,पिपासु,पिपासु,pipasu,2,0,Religion,,,
pisach,पिसाच,पिसाच,pichac,1,0,Death,,,
puchhar,पुच्छर,पुच्छर,puchhar,1,0,Body Part,,,
puttho,पुठ्ठो,पुट्ठो,puttho,1,0,Body Part,,,
puti,पुती,पुती,puti,5,1,Body Part,,1,
puti,पुती,पुती,puti,5,1,Vulgar,,1,
puti,पुति,पुती,puti,5,1,Body Part,,1,
petikot,पेटिकोट,पेटीकोट,petikot,1,0,Cloth,,,
penti,पेन्टी,पेन्टी,penti,2,0,Cloth,,,
paisa na saisa tiki tyas tyas,पैसा न सैसा टिकी ट्यास ट्यास,पैसा न सैसा टिकी ट्यास ट्यास,paisa na saisa tiki kyas tyas,1,0,Idiom,,,
pothe baseko,पोथी बासेको,पोथी बासेको,pothi baseko,4,0,Gender,,,
pratikriyabadi,,प्रतिक्रियावादी,pratikyiyabadi,1,0,Politics,,,
prabhu,प्रभू,प्रभु,prabhu,1,0,Religion,Politics,,
fuck,फक,फक,phak,5,1,Vulgar,Imported,1,1
fatah,फटाहा,फटाहा,phataha,1,0,Other,,0,1
fataha,फटाहा,फटाहा,phataha,1,0,Other,,0,1
phataha,फटाहा,फटाहा,pathaha,1,0,Other,,0,1
fataha,फताहा,फटाहा,phataha,1,0,Other,,0,1
phalamko chiura,फलामको चिउरा,फलामको चिउरा,phalamko chiura,1,0,Idiom,,,0
facho,फाँचो,फाँचो,phancho,2,0,Body Part,,0,0
phasist,फासिस्ट,फासिस्ट,phasista,1,0,Politics,,0,0
Fashiii de,फाँसि दे,फाँसी दिनु,phasi dinu,2,0,Other,,0,0
phirauti,फीरौती,फिरौती,phiraute,1,0,Other,,0,0
fuchhe,फुच्चे,फुच्चे,phhuchhe,1,0,Other,,0,0
phhuchhe,फूच्चे,फुच्चे,phhuchhe,1,0,Other,,0,0
phusi,फूसी,फुसी,phusi,5,1,Vulgar,,1,
fedd na tuppo ko,फेद न टुप्पोको,फेद न टुप्पाको,phed na tuppako,1,0,Idiom,,0,0
fodxuh,फोड्छु,फोड्नु,phodnu,1,0,Action,,0,0
phohori,फोहोरी,फोहोरी,phohori,1,0,Other,,0,1
bakbak,वकवक,बकबक,bakbak,2,0,Disability,,0,0
bakamphus,बकम्फुस,बकम्फुस,bakamphuse,3,0,Other,,0,1
bakamphus,वकम्फूस,बकम्फुस,bakamphuse,3,0,Other,,0,1
bakamphhuse,बकम्फूसे,बकम्फुसे,bakamphuse,3,0,Other,,0,1
badamphuse,बदमफूसे,बकम्फुसे,bakamphuse,3,0,Other,,0,1
bukumphuse,बूकूम फूशे,बकम्फुसे,bakamphuse,3,0,Other,,0,1
bakbaas,बकवास,बकवास,bakbas,2,0,Other,,0,1
bakbas,बक्बास,बकवास,bakbas,2,0,Other,,0,1
bakabas,वकवास,बकवास,bakbas,2,0,Other,,0,1
bangur,बङुर,बङ्गुर,bangur,1,0,Animal,,0,0
bajiya,बजिया,बजिया,bajiya,4,0,Other,,1,0
bajiya,वज्या,बजिया,bajiya,4,0,Other,,1,0
barta boldaixas,वढ्ता वोल्छस्,बढ्ता बोल्नु,badta bolnu,4,0,Other,,0,1
batase,बतासे,बतासे,batase,4,0,Marriage,,0,1
badanam,बदनाम,बदनाम,badnam,2,0,Other,,0,1
badamas,बदमास,बदमास,badmas,4,0,Other,,0,1
banduk,वन्दुक,बन्दुक,banduk,1,0,Weapon,,0,0
barma,वर्मा,बर्मा,barma,1,0,Geographic Location,,0,0
balatkar,बलात्कार,बलात्कार,balatkar,1,0,Action,Sex and Porn,1,
balatkari,बलत्कारी,बलात्कारी,balatkari,4,0,Other,Sex and Porn,1,
bahiro,वहिरो,बहिरो,bahiro,4,0,Disability,,0,1
bahula,बहुला,बहुला,bahula,4,0,Disease,,0,1
baulaha,बहुुलाहा,बहुला,bahula,4,0,Disease,,0,1
baifale,वाईफाले,बाइफाले,baiphale,5,1,Other,,0,1
bau,वाउ,बाउ,baau,1,0,Relation,,0,0
baauko bihe,वाउको विहे,बाउको बिहे,bahuko bihe,4,0,Marriage,,0,1
bakhrale khayeko biruwa ra bahunle khayeko desh,बाख्राले खाएको बीरूवा र बाहूनले खाएको देश,बाख्राले खाएको बिरुवा र बाहुनले खाएको देश,bakhale khayeko biruwa ra bahunle khayeko desh,4,0,Race,,0,1
bakhri,वाख्री,बाख्री,bakhri,1,0,Animal,Gender,0,0
banji,बाझी,बाँझी,banjhi,5,1,Marriage,,1,
banjo,बाझो,बाँझो,banjho,1,0,Marriage,,1,
badar,वाँदर,बाँदर,bandar,1,0,Animal,,0,1
badarni,वाँँदर्नी,बाँदर्नी,badarni,4,0,Animal,,0,1
badshaha,बाद्शाहा,बादसाह,badsah,1,0,Politics,,0,0
bame,बामे,बामे,bame,4,0,Politics,,0,0
balnu,वाल्नु,बाल्नु,balnu,1,0,Action,,0,0
baahun,बाहुन,बाहुन,bahun,1,0,Race,,0,0
bahun,बाहुन,बाहुन,bahun,1,0,Race,,0,0
bahun katha,बाहुन काठा,बाहुन काठा,bahun katha,4,0,Race,,0,0
bahun chhetri,बाउन छेत्री,बाहुन क्षत्री,bahun kshatri,1,0,Race,,0,0
bahun bhai,बाहुन भाई,बाहुन भाइ,bahun bhai,4,0,Race,,0,1
baunle,वाउनले,बाहुनले,bahunle,4,0,Race,,0,1
bahunbad,बाहुनबाद,बाहुनवाद,bahunbad,4,0,Race,,0,1
baahunbaad,वाहुनवाद,बाहुनवाद,bahunbad,4,0,Race,,0,1
baaunbaad,वाहुनवाद,बाहुनवाद,bahunbad,4,0,Race,,0,1
bahuni,बाहुनी,बाहुनी,bahuni,4,0,Race,,0,1
bidhuwa,बिधुवा,बिधुवा,bidhuwa,3,0,Marriage,,0,1
billa,बिल्ला,बिल्ला,billa,4,0,Other,,0,1
budhi,वुढी,बुढी,budhi,2,0,Gender,,0,0
budhikanya,बुढीकन्या,बुढीकन्या,budhikannya,4,0,Marriage,Gender,0,1
budha,बुढा,बुढो,budho,1,0,Gender,,0,0
budho,वुढो,बुढो,budho,1,0,Gender,,0,0
budhhi,बूद्दी,बुद्धि,buddhi,1,0,Other,,0,0
buddhima kira parera,बूद्धी माँ कीरा परेर,बुद्धिमा कीरा पर्नु,buddhima kira parnu,4,0,Other,,0,1
burjuwa,बूर्जूवा,बुर्जुवा,burjuwa,3,0,Other,,0,0
buhari,बुहारी,बुहारी,buhari,1,0,Marriage,,0,0
bekamma,बेकम्मा,बेकम्मा,bekamma,4,0,Other,,0,1
bekar chha,बेकार छ,बेकार छ,bekar chha,1,0,Other,,0,0
bebakuf,बेवकुफ,बेवकुफ,bewakuph,4,0,Other,,0,1
bebakuf,वेकुफ,बेवकुफ,bewakuph,4,0,Other,,0,1
bebakup,वेफकुप,बेवकुफ,bewakuph,4,0,Other,,0,1
bewakuf,वेवकुफ,बेवकुफ,bewakuph,4,0,Other,,0,1
bewakuf,वेेवकूफ,बेवकुफ,bewakuph,4,0,Other,,0,1
bokako mukhma kubhindo,बोकाको मूखमा कूभीण्डो,बोकाको मुखमा कुभिन्डो,bokako mukhma kubhindo,1,0,Idiom,,0,1
boke,बोके,बोके,boke,3,0,Animal,,1,
boka,बोका,बोको,boko,1,0,Animal,,1,
boksi,बोक्सी,बोक्सी,boksi,5,1,Other,,0,1
boksa,बोक्सा,बोक्सो,bokso,5,1,Other,,0,1
bokso,बोक्सो,बोक्सो,bokso,5,1,Other,,0,1
bol khate,वोल खाते,बोल खाते,bol  khate,5,1,Other,,0,1
baulaha,बौलाहा,बौलाहा,baulaha,2,0,Disease,,0,1
baaulaha,वौलाहा,बौलाहा,baulaha,4,0,Disease,,0,1
baulahi,बौहुलाही,बौलाही,baulahi,5,1,Disease,,0,1
boulai,वौैलाई,बौलाही,baulahi,5,1,Disease,,0,1
bra,ब्रा,ब्रा,bra,4,0,Cloth,Imported,1,1
