RawRom,RawNep,NormNep,NormRom,Offensiveness,IsTaboo,Class,Class_Other,Profanity,Offensive
bra ,व्रा,ब्रा,bra,4,0,Cloth,Imported,1,1
bra laal,ब्रा लाल ,ब्रा लाल ,bra laal,4,1,Cloth,Imported,1,1
bramhanbadi,ब्राम्हणवादी,ब्राम्हणवादी,bamhanbadi,4,0,Race,,0,0
blue,ब्लु,ब्लु,blue,1,0,Vulgar,Imported,0,0
bwaso,व्वासो,ब्वाँसो,bwanso,1,0,Animal,,0,0
vaduwa,भडूबा,भँडुवा,bhanduwa,5,1,Other,,0,1
bhaduwa,भाँडुवा,भँडुवा,bhanduwa,5,1,Other,,0,1
bhatuwa,भतुवा,भतुवा,bhanduwa,5,1,Other,,0,1
bhatuwa,भतुवा,भतुवा,bhatuwa,5,1,Other,,0,1
vatuwa,भतुवा,भतुवा,bhatuwa,5,1,Other,,0,1
bhanaudo,भनाउदा,भनाउँदा,bhanauda,3,0,Other,,0,1
bhariya,भरिया,भरिया,bhariya,1,0,Politics,,0,0
baraute,भरौटे,भरौटे,bharaute,4,0,Politics,,,
varkhar umrekaa challa,भर्खर उम्रेका चल्ला,भर्खर उम्रेका चल्ला,bharkhar umreka chhalla,1,0,Idiom,Animal,0,1
varjin,भर्जिन,भर्जिन,bharjin,5,1,Vulgar,Imported,1,
virgin,भर्जीन,भर्जिन,bharjin,5,1,Vulgar,Imported,1,
bhak muji,भाक मूजी,भाक मुजी,bhak mujhi,5,1,Vulgar,,1,
bhada,भाडा,भाडा,bhada,1,0,Politics,,0,0
bhatmara,भातमारा,भातमारा,bhatmara,4,0,Other,,0,1
bhate,भाते,भाते,bhate,4,0,Politics,,0,1
bhate,भातेे,भाते,bhate,4,0,Other,,0,1
vayan chod,भायन चोद,भायन चोद,bhayan chod,5,1,Other,Imported,1,
bhala,भाला,भाला,bhala,1,0,Weapon,,0,0
bhalu,भालु,भालु,bhalu,1,0,Animal,Sex and Porn,1,
vallu,भालु,भालु,bhalu,1,0,Animal,Sex and Porn,1,
valu,भालुु,भालु,bhalu,1,0,Animal,Sex and Porn,1,
bhik dinu,भीख दिनु,भिख दिनु,bhikh dinu,2,0,Politics,,0,0
bhik magnu,भिख माग्नु,भिख माग्नु,bhikh magnu,4,0,Politics,,0,0
bhikhari,भिकारी,भिखारी,bhikhari,4,0,Other,,,1
vikari,भिखारी,भिखारी,bhikhari,4,0,Other,,,1
bhikari,भिखारी,भिखारी,bhikhari,4,0,Other,,,1
bhikari,भीखारी,भिखारी,bhikhari,4,0,Other,,,1
bhiringi,भिरिङ्गी,भिरिङ्गी,bhiringi,5,1,Disease,Sex and Porn,1,
bhuknu,भुक्नु,भुक्नु,bhuknu,1,0,Other,Animal,,1
vukyo,भुक्यो,भुक्नु,bhuknu,1,0,Other,Animal,,1
bhut,भुत,भुत,bhut,1,0,Religion,Death,,
bhutrako,भूत्राको,भुत्राको,bhutrako,5,1,Other,Body Part,1,
bhutroko,भूत्रोको,भुत्राको,bhutrako,5,1,Other,Body Part,1,
bhutro,भुत्रो,भुत्रो,bhutro,5,1,Body Part,,1,
bhutla,भुत्ला,भुत्ला,bhutla,1,0,Body Part,,1,
vutla,भुत्ला,भुत्ला,bhutla,1,0,Body Part,,1,
bhusuna,भुसुना,भुसुनु,bhusunu,1,0,Animal,,,0
bheja,भेजा,भेजा,bheja,2,0,Other,,,
bheda,भेडा,भेडा,bheda,1,0,Animal,,,1
bhedaaa,भेडा,भेडा,bheda,1,0,Animal,,,1
veada,भेडा,भेडा,bheda,1,0,Animal,,,1
veda,भेडा,भेडा,bheda,1,0,Animal,,,1
bheda janta,भेडा जन्ता,भेडा जनता,bheda janata,4,0,Politics,Animal,,1
bhedaaa haru,भेडाहरु,भेडाहरु,bhedharu,1,0,Animal,Animal,,1
bhedo,भेडो,भेडो,bhedo,4,0,Animal,,,1
bhele,भेले,भेले,bhele,5,1,Race,,0,1
vely,भेले,भेले,bhele,5,1,Race,,0,1
bhai topalchha,भै टोपल्छ,भै टोपल्नु,bhai topalnu,4,0,Other,,,1
bhai topalne,भई टोपल्ने,भै टोपल्ने,bhai topalnu,4,0,Other,,,1
bhaiya,भैया,भैया,bhaiya,4,0,Race,,0,0
bhaisi,भैंसी,भैंसी,bhaisi,1,0,Animal,,0,0
bhaishe,भैंसे,भैंसे,bhaise,4,0,Animal,,0,0
bhogbilas,भोगविलास,भोगविलास,bhogbilas,2,0,Other,,,
bhotini,भोटीनी,भोटिनी,bhotini,4,0,Race,,,1
bhote,भोटे,भोटे,bhote,4,0,Race,,,1
bhosada,भोसडी,भोसदा,bhosada,4,1,Other,,1,
bhosada,भोसडा,भोसदा,bhosada,4,1,Other,,1,
bhosadi,भोसड़ी,भोसड़ी,bhosadi,5,1,Other,Imported,1,
bhosadi,भोसदी,भोसदी,bhosadi,5,1,Other,Imported,1,
bhosadi,भोसडी,भोसडी,bhosadi,5,1,Other,,1,
bhram,भ्रम,भ्रम,bhram,1,0,Other,,0,0
bhrasta,भ्रष्ट,भ्रष्ट,bhrastha,4,0,Politics,,0,1
bhastrachar,भ्रष्टाचार,भ्रष्टाचार,bhrastachar,1,0,Politics,,0,0
magaj khuskiyo,मगज खूस्कीयो,मगज खुस्किनु,magaj khuskinu,4,0,Disease,,0,1
magante,मगन्ते,मगन्ते,magante,4,0,Other,,0,0
magar,मगर,मगर,magar,1,0,Race,,,
majhuwa,मझुवा,मझुवा,majhuwa,4,0,Other,,,
madise,मदिसे,मदिसे,badise,5,1,Race,,0,1
mandale,मन्डले,मन्डले,bandale,3,0,Politics,,0,1
mapai,मपाई,मपाईँ,mapai,2,0,Other,,0,0
mapai,मपाईं,मपाईं,mapai,2,0,Other,,0,0
maranchyase,मरनच्याँसे,मरन्च्याँसे,maranchyase,4,0,Other,,0,1
maranchyase,मरन्च्याँसे,मरन्च्याँसे,maranchyase,4,0,Other,,0,1
marossssss,मरोस,मरोस,maros,2,0,Disease,,0,1
marna nasakeka,मर्न नसकेका,मर्न नसकेको,marna nasakeko,4,0,Disease,,0,1
masan,मसान,मसान,masan,1,0,Death,,0,0
maha this,महा थीस,महाठिस,mathis,5,1,Other,,1,1
mahapapi,महापापी,महापापी,mahapapi,4,0,Other,,0,1
mahasaya,महासय,महासय,mahasaya,1,0,Other,,0,0
maobadi,मावोवादी,माओवादी,maobadi,1,0,Politics,,0,0
ma ki,मा कि,माकि,maki,5,1,Other,,1,
makichut,माकिचुत,माकिचुत,makichut,5,1,Other,,1,
magne,माग्ने,माग्ने,magne,1,0,Other,,0,0
machikne,माचिक्ने,माचिक्ने,machiknne,5,1,Vulgar,,1,
mc,माचिक्ने,माचिक्ने,machiknne,5,1,Vulgar,,1,
machikne,माच्चिक्ने,माच्चिक्ने,machiknne,5,1,Vulgar,,1,
mc mujii,माचिक्ने मुजी,माच्चिक्ने मुजी,machiknne mujhi,5,1,Vulgar,,1,
majhakne,माझ्याक्ने,माझ्याक्ने,majhakne,5,1,Vulgar,,1,
made,माडे,माडे,made,5,1,Race,,1,
madnu,माड्नु,माड्नु,madnu,1,0,Vulgar,,1,
madhr,मादर,मादर,madar,5,1,Vulgar,,1,
madar chut,मादरचुत,मादरचुत,madarchut,5,1,Vulgar,,1,
madharchod,मादरचुत,मादरचुत,madarchut,5,1,Vulgar,,1,
maderchod,मादरचोत,मादरचुत,madarchut,5,1,Vulgar,,1,
madharchod,मादरचोत,मादरचुत,madarchut,5,1,Vulgar,,1,
madarchod,मादरचोद,मादरचुत,madarchut,5,1,Vulgar,,1,
madarchod,मादर्चोद,मादरचुत,madarchut,5,1,Vulgar,,1,
maanashik rogi,मानसिक रोगी,मानसिक रोगी,manasik rogi,1,0,Disease,,,
manasik rogi,मानसीक रोगी,मानसिक रोगी,manasik rogi,1,0,Disease,,,
maphiya,माफिया,माफिया,maphiya,2,0,Politics,,,
maphiya,माफीया,माफिया,maphiya,2,0,Politics,,,
marna,मार्न,मार्न,marna,1,0,Action,,,1
marnu,मार्नु,मार्नु,marnu,1,0,Action,Death,,1
maarnu,मार्नु,मार्नु,marnu,1,0,Action,Death,,1
marne,मार्ने,मार्ने,marnu,1,0,Action,,,1
maal,माल,माल,maal,1,0,Other,,1,
mukha samalera bol,मुख सम्हालेर वोल,मुख सम्हालेर बोल्नु,mukh samhalera bolnu,4,0,Other,,,1
muji,मुजि,मुजी,mujhi,5,1,Body Part,,1,
mg,मुजी,मुजी,mujhi,5,1,Body Part,,1,
muge,मुजी,मुजी,mujhi,5,1,Body Part,,1,
mujee,मुजी,मुजी,mujhi,5,1,Body Part,,1,
muji,मुजी,मुजी,mujhi,5,1,Body Part,,1,
muji khate,मुजी खाते,मुजी खाते,mujhi khate,5,1,Other,Mixed,1,
mujji dhoti,मुजी धोती,मुजी धोती,mujhi dhoti,5,1,Race,,1,
muji bhatuwa,मुजी भतुवा,मुजी भतुवा,mujhi bhatuwa,5,1,Other,Mixed,1,
muji randi,मुजी रण्डी,मुजी रण्डी,bujhi randi,5,1,Vulgar,,1,
mut,मुत,मुत,mut,5,1,Excretion,,1,
muth,मुथ,मुथ,muth,,,,,1,
muth,मुठ,मुठ,muth,,,,,1,
muntiyechha,मून्टीएछ,मुन्टिनु,muntinu,3,0,Other,,,1
munto,मुन्टो,मुन्टो,munto,1,0,Body Part,,1,
murga,मुर्गा,मुर्गा,murga,1,0,Animal,Imported,,1
murgi,मुर्गी,मुर्गी,murgi,1,0,Animal,Imported,,1
murda,मुर्दा,मुर्दा,murda,1,0,Death,,,1
murda,मूर्दा,मुर्दा,murda,1,0,Death,,,1
murdabad,मूर्दाबाद,मुर्दावाद,murdabaad,2,0,Other,,,1
murdini,मुर्दीनी,मुर्दीनी,murdini,5,1,Death,,1,
mulankhare,मुल्ङ्गखरे,मुल्ङ्गखरे,mulankhare,5,1,Other,,1,
mulankhare,मूल्ङ्गखरे,मुल्ङ्गखरे,mulankhare,5,1,Other,,1,
murkha,मुर्ख,मूर्ख,murkha,4,0,Other,,,1
murha,मुर्ख,मूर्ख,murkha,4,0,Other,,,1
patmurkha,पटमूर्ख,पटमूर्ख,patmurkha,4,0,Other,,,1
mula,मुला,मूला,mula,1,0,Plant,,,1
mula,मूला,मूला,mula,1,0,Plant,,,1
mulasag,मूलासाग,मूलासाग,mulasag,4,0,Plant,,,1
maithun,मैथुन,मैथुन,maithun,5,1,Vulgar,,1,
motibindu,मोतीबीन्दू,मोतीबिन्दु,motibindu,1,0,Disease,,,1
yeslai marna,येस्लाई मार्न,यसलाई मार्नु,yaslai marnu,4,0,Action,,,1
ryal kadera,रयाल काढेर,याल काढेर,ryal kadera,4,0,Other,Excretion,,1
yo bahun,यो वाहुन,यो बाहुन,yo bahun,3,0,Race,,,1
yoni,योन,योनी,yoni,5,1,Body Part,,1,
yoni,योनी,योनी,yoni,5,1,Body Part,,1,
yaunanga,यौनाङ्ग,यौनाङ्ग,yaunaga,3,0,Body Part,,1,
ranga pherne chheparo,रंग फेर्ने छेपारो,रङ फेर्ने छेपारो,rang pherne chheparo,1,0,Idiom,Animal,0,1
ratandho,रतन्धो,रतन्धो,ratandho,1,0,Disease,,0,1
ratna park,रत्न पार्क,रत्नपार्क,ratnapark,1,0,Geographic Location,,0,0
Ratna park,रत्नपार्क,रत्नपार्क,ratnapark,1,0,Geographic Location,,0,0
randa,रन्डा,रन्डा,randa,5,1,Marriage,Death,1,
randi,रन्डी,रन्डी,randi,5,1,Marriage,Death,1,
rondi,रन्डी,रन्डी,randi,5,1,Marriage,Death,1,
rondii,रन्डी,रन्डी,randi,5,1,Marriage,Death,1,
randi,रन्दि,रन्डी,randi,5,1,Marriage,Death,1,
randiki chhori,रन्डीकी छोरी,रन्डीकी छोरी,randiki chhori,5,1,Relation,,1,
randiko aulat,रन्डीको औलात,रन्डीको औलात,randiko aaulat,5,1,Relation,Code Switch,1,
randi ko xora,रन्डीको छोरा,रन्डीको छोरा,randiko chhora,5,1,Relation,,1,
randiko xoro,रन्डीको छोरा,रन्डीको छोरा,randiko chhori,5,1,Relation,,1,
randiko chhoro,रन्डीको छोरो,रन्डीको छोरो,randiko bahan,5,1,Relation,,1,
randiko ban,रन्डी को बान,रन्डीको वहान,randiko bahan,5,1,Relation,,1,
randiko ban,रन्डीकोबान,रन्डीको वहान,randiko bahan,5,1,Relation,,1,
randikhana,रन्डीखाना,रन्डीखाना,randikhana,5,1,Vulgar,,1,
rango,राग,रन्डो,rando,5,1,Marriage,Death,1,
rando,रन्डो,रन्डो,rando,5,1,Marriage,Death,1,
rai,राई,राई,raai,1,0,Race,,,1
raini,रईनि,राईनी,raini,4,0,Race,,,1
rakchhas,राक्षस,राक्षस,rakchhas,1,0,Religion,Animal,1,
rakshyas,राक्षस,राक्षस,rakchhas,1,0,Religion,Animal,1,
rakchhesni,राक्षस्नी,राक्षस्नी,rakchhasni,4,0,Religion,Animal,1,
rachi,राची,राँची,ranchhi,1,0,Geographic Location,Disease,,
rachi,राँची,राँची,ranchhi,1,0,Geographic Location,Disease,,
radi,राडी,राँडी,randi,5,1,Marriage,,1,
raadi,राँडी,राँडी,randi,5,1,Marriage,,1,
randi,राँडी,राँडी,randi,5,1,Marriage,,1,
radiko xora,राडीको छोरा,राँडीको छोरा,randiko chhora,5,1,Relation,Marriage,1,
radiko ban,राँडी को बान,राँडीको वहान,randiko bahan,5,1,Relation,Marriage,1,
randiko ban,राँडीकोबान,राँडीको वहान,randiko bahan,5,1,Relation,Marriage,1,
rado,राँडो,राँडो,raando,5,1,Marriage,,1,
rastraghati,राष्ट्रघाती,राष्ट्रघाती,rastraghati,3,0,Politics,,,1
rastraghati,रास्ट्र घाती,राष्ट्रघाती,rastraghati,3,0,Politics,,,1
rastradrohi,राष्ट्रद्रोही,राष्ट्रद्रोही,rastradrohi,3,0,Politics,,,1
rebij,रेबीज,रेबीज,rebij,1,0,Disease,,,
rogi,रोगी,रोगी,rogi,1,0,Disease,,,1
ryal,र्याल,र्,ryal,1,0,Excretion,,,
ryal chuhayeko,र्याल चुहाएको,र्,ryral chuhaunu,3,0,Other,Excretion,,1
lakhetnu,लखेट्नू,लखेट्नु,lakhetnu,1,0,Action,,,
langado,लङ्गडो,लङ्गडो,langado,5,1,Disability,,1,
lachharpato,लच्छारपाटो,लछारपाटो,lachharpato,4,0,Other,,,1
lathuwa,लठूवा,लठूवा,ladhuwa,4,0,Other,,,1
lathebri,लठेव्री,लठेब्री,lathebri,5,1,Disability,,1,
lathebra,लठेव्रा,लठेब्रो,lathebro,5,1,Disability,,1,
lathebro,लठेव्रो,लठेब्रो,lathebro,5,1,Disability,,1,
latti,लठ्ठी,लठ्ठी,latthi,1,0,Weapon,,0,0
lanthu,लन्ठु,लन्ठू,lanthu,5,1,Other,,1,
lanthai saaf,लन्ठै साफ,लन्ठै साफ,lanthai saph,5,1,Other,,1,
lafada,लफडा,लफडा,lafada,3,0,Other,,,
lachhi,लाछी,लाछी,lachhi,5,1,Other,,1,
laaj nabhayeka nakachharaharu,लाज नभएका नकचरा हरू,लाज नभएका नकचराहरू,laaj nabhayeka nakacharaharu,4,0,Other,,,1
laaj nabhayekahru,लाज नभएकाहरू,लाज नभएकाहरू,laaj nabhayekaharu,4,0,Other,,,1
laaj pachheko,लाज पचेको,लाज पचाउनु,laaj pachaaunu,4,0,Other,,,1
lajai pachayera,लाजै पचाएर,लाजै पचाएर,lajai pachayera,4,0,Other,,,1
latale papa here jasto,लाटाले पापा हेरे जस्तो,लाटाले पापा हेरे जस्तो,latale papa here jasto,4,0,Idiom,Disability,,1
lati,लाटी,लाटी,lati,3,0,Disability,,,1
lata,लाटा,लाटो,lato,3,0,Disability,,,1
lato,लाटो,लाटो,lato,3,0,Disability,,,1
lato desko gada tanneri,लाटो देशको गाडा तन्नेरी,लाटो देशको गाँडो तन्नेरी,lato deshko gando tanneri,5,1,Idiom,Disability,1,
lato ladchha yek baldyang batho ladchha saat baldyang,लाटो लड्छ एक बल्ड्याङ बाठो लड्छ सात बल्ड्याङ,लाटो लड्छ एक बल्ड्याङ बाठो लड्छ सात बल्ड्याङ,lato ladchha aak baldhyan batho ladchha saat baldhyang,1,0,Idiom,Disability,,1
lando,लाँडो,लाँडो,lando,5,1,Body Part,Sex and Porn,1,
lando,लाँडो,लाँडो,lando,5,1,Vulgar,Sex and Porn,1,
lado,लाँडो,लाँडो,lando,5,1,Body Part,Sex and Porn,1,
lado,लादो,लादो,lando,5,1,Body Part,Sex and Porn,1,
lado,लाडो,लाडो,lando,5,1,Body Part,Sex and Porn,1,
lattile hirkayera bariko patama,लात्तीले हीर्काएर बारीको पाटामा,लात्तीले हिर्काएर बारीको पाटामा,lattile hirkayera bariko patama,1,0,Idiom,Action,,1
lamto,लाम्टो,लाम्टो,lamto,5,1,Body Part,,1,
linga,लिङ्ग,लिङ्ग,linga,1,0,Body Part,,1,
lutera,लुटेरा,लुटेरा,lutera,1,0,Other,,,1
lutera,लूटेरा,लुटेरा,lutera,1,0,Other,,,1
luteraok sachhi chor,लूटेराकाे साक्षी चाेर,लुटेराको साक्षी चाेर,luterako sakchhi chor,1,0,Idiom,,,1
lutikhuire,लूतीखूइरे,लूतीखूइरे,lutikhuire,5,1,Other,,1,
lejbian,लेजवियन,लेजवियन,lejbiyan,1,0,Gender,Imported,1,
logne,लोग्ने,लोग्ने,logne,1,0,Relation,,0,0
lodar,लोदर,लोदर,lodhar,1,0,Other,,,1
lodhar,लोदर,लोदर,lodhar,1,0,Other,,,1
lodhre,लोदरे,लोदरे,lodhare,5,1,Other,,1,1
lophar,लोफर,लोफर,lophar,4,0,Other,,,1
loffar,लोफर,लोफर,lophar,4,0,Other,,,1
lan,ल्याङ्,ल्याङ्,langlang,1,0,Other,,,1
bali,वली,वली,bali,1,0,Religion,,,1
baliko boko,वलीको वोको,वलीको बोको,baliko boko,4,0,Animal,Religion,,1
baal,वाल,वाल,baal,2,0,Other,,0,0
Wah,वा,वाह,wah,1,0,Other,,0,0
bahan,बहान,वाहन,wahan,1,0,Animal,,,
waihat,वाईयत,वाहियत,wahiyat,2,0,Other,,,1
bikhandankari,विखण्डनकारी,विखण्डनकारी,bikhandakari,4,0,Politics,,,1
bikhandankari,वीखण्डनकारी,विखण्डनकारी,bikhandakari,4,0,Politics,,,1
bichar garera bol,बीचार गरेर बोल,विचार गरेर बोल्नु,bichar garera bolnu,1,0,Other,,,1
bideshiko chhad,बीदेशीको छाद,विदेशीको छाद,bideshiko chhad,4,0,Politics,Excretion,1,
bidhur,विधुर,विधुर,bidhur,5,1,Marriage,Death,1,
bibekhin,बीबेकहीन,विवेकहीन,bibekhin,4,0,Other,,,
bibekhin,विवेकहीन,विवेकहीन,bibekhin,4,0,Other,,,
bikh (bish),बिख,विष,bish,1,0,Other,,,
bish brikshhya ropera amrit phalko asha garne,बीष बृक्ष राेपेर अमृत फलको आशा गर्ने,विष बृक्ष राेपेर अमृत फलको आशा गर्नु,bish brikchhya ropera amrit phalko aasha garnu,1,0,Idiom,,,1
bihari,बिहारी,विहारी,bihari,4,0,Race,,0,1
bihare,विहारी,विहारी,bihari,4,0,Race,,0,1
birya,विर्य,वीर्य,birya,5,1,Excretion,,1,1
besya,वेेस्या,वेश्या,beshya,4,0,Vulgar,Gender,1,1
besia,वेेस्या,वेश्या,beshya,4,0,Vulgar,Gender,1,1
baiya,वेसिया,वेश्या,beshya,4,0,Vulgar,Gender,1,1
besya,व्यश्या,वेश्या,beshya,4,0,Vulgar,Gender,1,1
besyalaya,बेस्यालए,वेश्यालय,beshyalaya,2,0,Vulgar,Gender,1,1
bokoharam,वोकोहराम,वोकोहराम,bokoharam,1,0,Politics,Imported,,1
bwaktigat swartha,ब्यक्तीगत स्वार्थ,व्यक्तिगत स्वार्थ,bwaktigat swartha,1,0,Other,,,
saranarthi,शरणार्थी,शरणार्थी,sharanarthi,1,0,Politics,,,
sukrakit,शुक्रकीट,शुक्रकीट,shukrakit,5,1,Excretion,Sex and Porn,1,
sudra,सुद्र,शूद्र,shudra,3,0,Race,,,1
sadyantra,षड्यंत्र,षड्यन्त्रकारी,shadyantrakari,4,0,Politics,,,
sakchhan bhane ma sita aaija,सक्छस भने मसीत अाईज,सक्छस् भने मसँग आइज,sakchhas bhane masango aaija,4,0,Action,,,1
sadakchhap,सडकछाप,सडकछाप,sadakchhap,4,0,Other,,,1
sanki,सन्कि,सन्की,sanki,4,0,Other,,,1
saram nabhayeko,सरम नभएको,सरम नभएको,saram nabhayeko,4,0,Other,,,1
saruwa rog,सरूवा राेग,सरुवा रोग,saruwa rog,1,0,Disease,,,
sarkini,सर्कीनी,सर्किनी,sarkini,4,0,Race,,,1
sarwanga,सर्वाङ्ग,सर्वाङ्ग,sarwanga,1,0,Other,,,1
psycho,साईको,साइको,saiko,4,0,Disease,Imported,,1
sanglo,साङलो,साङ्लो,sanglo,1,0,Weapon,,,
sanglole badhnuparne,साङलोले बाँध्नुपर्ने,साङ्लोले बाँध्नुपर्ने,sanglole badhnuparne,4,0,Action,Weapon,,1
sande,साँडे,साँढे,sandhe,1,0,Animal,,,1
samanti,सामन्ती,सामन्ती,samanti,2,0,Politics,,,1
saamanti soshsak,सामन्ती शोषक,सामन्ती शोषक,samanti shosak,4,0,Politics,,,1
sampradayik,साम्प्रदायीक,साम्प्रदायिक,sampradayik,1,0,Race,,,
sari,सारी,सारी,sari,1,0,Cloth,,,
sarki,सार्की,सार्की,sarki,1,0,Race,,,1
sala,साला,साला,sala,3,0,Relation,,1,1
saala,साला,साला,sala,3,0,Relation,,1,1
saalaa,साला,साला,sala,3,0,Relation,,1,1
salaa,साला,साला,sala,3,0,Relation,,1,1
sala kukur,साला कुकुर,साला कुकुर,sala kukur,4,0,Animal,Mixed,1,1
saalaa kukur,साला कुकुर,साला कुकुर,sala kukur,4,0,Animal,,1,1
saala khate,साला खाते,साला खाते,sala khate,4,0,Other,Mixed,1,1
sala pagal,साला पागल,साला पागल,sala pagal,4,0,Disease,Mixed,1,1
sala veda,साला भेडा,साला भेडा,sala bheda,4,0,Animal,Mixed,1,1
saale,साले,साले,sale,4,0,Relation,,1,1
sale,साले,साले,sale,4,0,Relation,,1,1
sale chor,साले चोर,साले चोर,sale chor,4,0,Relation,Mixed,1,1
sale hawa,साले हावा,साले हावा,sale hawa,4,0,Relation,Mixed,1,1
sigan,सिगान,सिँगान,singan,1,0,Excretion,,,
singaru,सिँगारु,सिँगारु,singaru,1,0,Gender,,,
sinko bhacheko,सीन्को भाँचेको,सिन्को भाँचेको,sinko bhacheko,2,0,Other,,,
sisnupani,सिस्नु पानी,सिस्नु पानी,sisnu pani,1,0,Weapon,Plant,,
sugur,सुँगुर,सुँगुर,sungur,1,0,Animal,,,1
sugurni,सुँगुर्नी,सुँगुर्नी,sugurni,4,0,Animal,,,1
sugnu,सुग्नु,सुँघ्नु,sughnu,1,0,Action,,,
shoot,सूट,सुट,suut,2,0,Weapon,,,1
sutto,सुड्डो,सुट्टो,sutto,4,0,Other,,,1
suttho,सूड्डो,सुट्टो,sutto,4,0,Other,,,1
sutnu,सुत्नु,सुत्नु,sutnu,1,0,Vulgar,,x,x
sex,सेक्स,सेक्स,sex,1,0,Vulgar,,1,
saitan,सैतान,सैतान,saitan,2,0,Religion,Imported,,
stan,स्तन,स्तन,stan,5,1,Body Part,Sex and Porn,1,
strilampat,स्त्रीलम्पट,स्त्रीलम्पट,strilampat,4,0,Vulgar,,0,1
sangyali,स्याङ्जाली,स्याङ्जाली,syangali,1,0,Geographic Location,,,1
syal,स्याल,स्याल,syal,1,0,Animal,,,
swaghosit,स्वोघोसीत,स्वघोषित,swaghosit,1,0,Politics,,,
swapnadosh,स्वप्नदोष,स्वप्नदोष,swapnadosh,5,1,Vulgar,,1,
swath,स्वाँठ,स्वाँठ,swath,4,0,Other,,,1
swarthama lipta,स्वार्थमा लीप्त,स्वार्थमा लिप्त,swarthama lipta,3,0,Other,,,1
swarthi,स्वार्थी,स्वार्थी,swarthi,4,0,Other,,,
swasni,स्वास्नी,स्वास्नी,swasni,1,0,Relation,,,
hagai bhanda padhai dherai,हगाई भन्दा पधाई धेरै,हगाइ भन्दा पदाइ धेरै,hagai bhanda padhai dherai,5,1,Idiom,,0,1
hagnu,हग्नु,हग्नु,hagnu,5,1,Excretion,Action,1,1
hajam garnu,हजाम गर्नु,हजाम गर्नु,hajam garnu,1,0,Other,,,1
hatyara,हत्यारा,ह,hatyara,4,0,Other,,,1
hatyaara,हत्यारा,ह,hatyara,4,0,Other,,,1
hatyara,ह,ह,hatyara,4,0,Other,,,1
hatyara lutera,हत्यारा लुटेरा,हत्यारा लुटेरा,hatyara lutera,4,0,Other,,,1
hanuman,हनुमान,हनुमान,hanuman,1,0,Animal,Politics,,
hanumangiri,हनुमानगिरी,हनुमानगिरी,hanumangiri,4,0,Politics,,,1
harami,हरामी,हरामी,harami,4,0,Other,,1,1
hariyo bas,हरियो वाँस,हरियो बाँस,hariyo baas,1,0,Death,,,
hali,हली,हली,bali,3,0,Other,,,
hasuri,हसुरि,हसुरी,hasuri,3,0,Other,,,
hasure,हसूरे,हसुर्नु,hasurnu,3,0,Other,,,1
hastamaithun,हस्तमैथुन,हस्तमैथुन,hastamaithun,5,1,Vulgar,,1,
hadi ghopte,हाँडी घोप्टे,हाँडी घोप्टे,handi ghopte,5,1,Other,,0,1
Hali muhai,हाली मुहाली,हालीमुहाली,halimuhali,2,0,Other,,,
hawa,हावा,हावा,hawa,1,0,Other,,,
hawa kura,हावा कुरा,हावा कुरा,hawa kura,3,0,Other,,,1
hawa kura,हावा कुुरा,हावा कुरा,hawa kura,3,0,Other,,,1
hawa buda,हावा बूडा,हावा बुढा,hawa budha,4,0,Other,,,1
hawadari,हावादारी,हावादारी,hawadari,4,0,Other,,,1
hijada,हिँजडा,हिजडा,hinjhada,5,1,Gender,,0,
himmat nabhayeko,हिम्मत नभएको,हिम्मत नभएको,himmat nabhayeko,4,0,Other,,,
hutihara,हुतीहारा,हुतीहारा,hutihara,4,0,Other,,0,1
hutihara,हूतीहारा,हुतीहारा,hutihara,4,0,Other,,1,
haija,हैजा,हैजा,haija,1,0,Disease,,0,1
hwau nabhayeko,ह्याउ नभएको,ह्याउ नभएको,hwau nabhayeko,4,0,Other,,,
what the fuck,ह्वाट दी फक,ह्वाट दि फक,what da phak,5,1,Vulgar,Imported,1,
,,,,,,,,Profanity,Offensive
,,,,,,,,,
,,,,,,,,,
point to be noted ,,,,,,,,,
hijada only is nothing,,,,,,,,,
ta ma or with noun aayo bhane profanity,,,,,,,,,